id;author;booktitle;cdrom;cite;cite-label;crossref;editor;ee;i;journal;key;mdate;month;note;number;pages;publisher;publtype;rating;reviewid;sub;sup;title;title-bibtex;tt;url;volume;year
1442501;Peter Dierolf|Volker Schmidt;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI93-13;2011-12-29;;;;;;informal publication;;;;;A Pre-Dual for the Convolution Algebra D'(Gamma+);;;;93-13;1993
1442502;Christoph Meinel|Thorsten Theobald;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI98-01;2011-12-29;;;;;;informal publication;;;;;Ordered Binary Decision Diagrams and Their Significance in Computer-Aided Design of VLSI Circuits;;;;98-01;1998
1442503;Alexander Hufnagel|Peter Gritzmann;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI95-15;2011-12-29;;;;;;informal publication;;;;;On the Algorithmic Complexity of Minkowski's Reconstruction Theorem;;;;95-15;1995
1442504;Klaus Jansen;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI92-15;2011-12-29;;;;;;informal publication;;;;;On the Complexity of a Licence Constrained Job Assignment Problem;;;;92-15;1992
1442505;Richard Rödler;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI98-15;2011-12-29;;;;;;informal publication;;;;;A Phase Space Model for Spatial BMAPs;;;;98-15;1998
1442506;Subhendu Bikash Hazra|Volker Schulz;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI02-12;2011-12-29;;;;;;informal publication;;;;;Numerical Parameter Identification in Non-isothermal Multiphase Multicomponent Flow through Porous Media;;;;02-12;2002
1442507;Christoph W. Keßler;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI97-12;2011-12-29;;;;;;informal publication;;;;;Practical PRAM Programming with Fork95 - A Tutorial;;;;97-12;1997
1442508;Alexander Kaplan|Rainer Tichatschke;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI97-10;2011-12-29;;;;;;informal publication;;;;;Regularized Penalty Method for Parabolic Optimal Control Problems;;;;97-10;1997
1442509;C. Ould Ahmed Salem|N. Lehdili;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI98-30;2011-12-29;;;;;;informal publication;;;;;Proximal Methods: Decomposition and Selection;;;;98-30;1998
1442510;Christoph Meinel|Michael Schmitt II;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI03-06;2011-12-29;;;;;;informal publication;;;;;Design and Implementation of a PHP-based Web Server for the Tele-Lab IT Security;;;;03-06;2003
1442511;Alexander Kaplan|Rainer Tichatschke;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI02-22;2011-12-29;;;;;;informal publication;;;;;Weak Error Tolerance Criterion in Generalized Proximal Methods;;;;02-22;2002
1442512;Dimitri Efrosinin|Lothar Breuer|Vladimir Rykov;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI02-11;2011-12-29;;;;;;informal publication;;;;;An Optimization Algorithm for the MAP/PH/K Queue with Heterogeneous Servers;;;;02-11;2002
1442513;Anna Slobodová|Christoph Meinel|Jochen Bern|Jordan Gergov;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI93-20;2011-12-29;;;;;;informal publication;;;;;Boolean Manipulation with Free BDD's - First Experimental Results;;;;93-20;1993
1442514;Dieter Baum|Gurami Tsitsiashvili|M. A. Osipova|N. V. Koliev;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI01-11;2011-12-29;;;;;;informal publication;;;;;A Product Theorem for Markov Chains with Application to PF-Queueing Networks;;;;01-11;2001
1442515;Christoph Meinel|Jochen Bern;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI99-16;2011-12-29;;;;;;informal publication;;;;;One Step Further: Integrating Electronic Submission and the Reviewing Process;;;;99-16;1999
1442516;Christian Stangier|Christoph Meinel;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI98-23;2011-12-29;;;;;;informal publication;;;;;Increasing Efficiency of Symbolic Model Checking by Accelerating Dynamic Variable Reordering;;;;98-23;1998
1442517;Christoph W. Keßler|Craig Smith|Helmut Seidl;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI99-10;2011-12-29;;;;;;informal publication;;;;;The SPARAMAT Approach to Automatic Comprehension of Sparse Matrix Computations;;;;99-10;1999
1442518;Subhendu Bikash Hazra|Volker Schulz;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI04-06;2011-12-29;;;;;;informal publication;;;;;Simultaneous Pseudo-Timestepping for Aerodynamic Shape Optimization Problems with State Constraints;;;;04-06;2004
1442519;Dirk Frosch;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI92-13;2011-12-29;;;;;;informal publication;;;;;Product Form Solutions for Closed Synchronized Systems of Stochastic Sequential Processes;;;;92-13;1992
1442520;Stasys Jukna;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI95-11;2011-12-29;;;;;;informal publication;;;;;On Communication Games with More than Two Players;;;;95-11;1995
1442521;Belinda B. King;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI96-43;2011-12-29;;;;;;informal publication;;;;;Representation of Feedback Operators for Hyperbolic Partial Differential Equation Control Problems;;;;96-43;1996
1442522;Richard Rödler;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI98-14;2011-12-29;;;;;;informal publication;;;;;Stability Analysis of Wireless Networks;;;;98-14;1998
1442523;Manfred Laumen;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI96-33;2011-12-29;;;;;;informal publication;;;;;A Comparison of Numerical Methods for Optimal Shape Design Problems;;;;96-33;1996
1442524;Klaus Jansen;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI92-14;2011-12-29;;;;;;informal publication;;;;;One Strike Against the Min-Max Degree Triangulation Problem;;;;92-14;1992
1442525;Dieter Baum;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI94-14;2011-12-29;;;;;;informal publication;;;;;Approximate Analysis of Multi-Queue Stations with 1-Limited Service;;;;94-14;1994
1442526;Christoph Meinel|Thorsten Theobald;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI96-04;2011-12-29;;;;;;informal publication;;;;;State Encodings and OBDD-Sizes;;;;96-04;1996
1442527;S. Rotin;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI98-02;2011-12-29;;;;;;informal publication;;;;;Regularisierte Strafmethoden für inkorrekt gestellte Kontrollprobleme mit linearen Zustandsgleichungen;;;;98-02;1998
1442528;Carsten Damm|Markus Holzer|Peter Rossmanith;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI95-01;2011-12-29;;;;;;informal publication;;;;;Expressing Uniformity via Oracles;;;;95-01;1995
1442529;Reiner Horst|Ulrich Raber;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI96-39;2011-12-29;;;;;;informal publication;;;;;Convergent Outer Approximation Algorithms for Solving Unary Problems;;;;96-39;1996
1442530;Christoph Meinel|Harald Sack;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI01-07;2011-12-29;;;;;;informal publication;;;;;Improving XOR-Node Placement for (+)-OBDDs;;;;01-07;2001
1442531;Jürgen Huschens;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI92-20;2011-12-29;;;;;;informal publication;;;;;Structured Quasi-Newton Methods for Optimization Problems in Hilbert Space;;;;92-20;1992
1442532;Anna Slobodová|Christoph Meinel|Jochen Bern;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI95-03;2011-12-29;;;;;;informal publication;;;;;Global Rebuilding of OBDD's - Tunneling Memory Requirement Maxima;;;;95-03;1995
1442533;Anna Slobodová|Christoph Meinel;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI94-05;2011-12-29;;;;;;informal publication;;;;;On the Complexity of Constructing Optimal OBDD's;;;;94-05;1994
1442534;Carsten Damm;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI98-06;2011-12-29;;;;;;informal publication;;;;;On Boolean vs. Modular Arithmetic for Circuits and Communication Protocols;;;;98-06;1998
1442535;Dieter Baum;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI02-18;2011-12-29;;;;;;informal publication;;;;;Vom M/G/1- zum BMAP/G/1-Modell;;;;02-18;2002
1442536;Abdelouahed Hamdi;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI98-26;2011-12-29;;;;;;informal publication;;;;;Convergence Results on Proximal Method of Multipliers in Nonconvex Programming;;;;98-26;1998
1442537;Abdelouahed Hamdi;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI98-32;2011-12-29;;;;;;informal publication;;;;;Convergence Results on Proximal Method of Multipliers in Nonconvex Programming;;;;98-32;1998
1442538;M. Davidson;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI97-17;2011-12-29;;;;;;informal publication;;;;;Stochastic Constraint Aggregation Method for Convex Semi-Infinite Problems;;;;97-17;1997
1442539;Nguyen V. Thoai|Reiner Horst;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI96-03;2011-12-29;;;;;;informal publication;;;;;Utility Function Programs and Optimization over the Efficient Set in Multiple Objective Decision Making;;;;96-03;1996
1442540;Dieter Baum;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI98-07;2011-12-29;;;;;;informal publication;;;;;On Markovian Spatial Arrival Processes for the Performance Analysis of Mobile Communication Networks;;;;98-07;1998
1442541;Dieter Baum|Luciano Lenzini;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI92-21;2011-12-29;;;;;;informal publication;;;;;Performance Analysis of SDN Specific Error Procedures: Comparison of Step-by-Step and End-to-End Schemes;;;;92-21;1992
1442542;D. Kleis|Ekkehard W. Sachs;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI95-19;2011-12-29;;;;;;informal publication;;;;;Convergence Rate of the Augmented Lagrangian SQP Method;;;;95-19;1995
1442543;Helmut Seidl;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI97-18;2011-12-29;;;;;;informal publication;;;2;;Model-Checking for L;;;;97-18;1997
1442544;Dieter Baum;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI98-31;2011-12-29;;;;;;informal publication;;;;;The Infinite Server Queue with Markov Additive Arrivals in Space;;;;98-31;1998
1442545;A. Battermann|E. Arian|Ekkehard W. Sachs;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI99-12;2011-12-29;;;;;;informal publication;;;;;Approximation of the Newton Step by a Defect Correction Process;;;http://www.mathematik.uni-trier.de/preprints/About/FoMaInf_12.html;99-12;1999
1442546;Klaus Jansen;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI93-04;2011-12-29;;;;;;informal publication;;;;;Scheduling of Conditional Executed Jobs on Unrelated Processors;;;;93-04;1993
1442547;Nguyen V. Thoai|Reiner Horst;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI93-22;2011-12-29;;;;;;informal publication;;;;;A new Algorithm for Solving the General Quadratic Programming Problem;;;;93-22;1993
1442548;Bernd Sturmfels|Peter Gritzmann;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI92-06;2011-12-29;;;;;;informal publication;;;;;Minkowski Addition of Polytopes: Computational Complexity and Applications to Gröbner Bases;;;;92-06;1992
1442549;Alexander Kaplan|Rainer Tichatschke;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI98-09;2011-12-29;;;;;;informal publication;;;;;Proximal Interior Point Approach for Solving Convex Semi-infinite Programming Problems;;;;98-09;1998
1442550;Daniel Görgen|Hannes Frey|Johannes K. Lehnert|Peter Sturm;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI04-01;2011-12-29;;;;;;informal publication;;;;;A Generic Background Dissemination Service for Mobile Ad-Hoc Networks;;;;04-01;2004
1442551;Nguyen V. Thoai;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI94-10;2011-12-29;;;;;;informal publication;;;;;A Decomposition Method in Nonconvex Mixed-Integer Programming;;;;94-10;1994
1442552;Andreas Neumann|Helmut Seidl;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI98-08;2011-12-29;;;;;;informal publication;;;;;Locating Matches of Tree Patterns in Forests;;;;98-08;1998
1442553;Anthony J. Hayter|Helmut Finner|Markus Roters;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI93-19;2011-12-29;;;;;;informal publication;;;;;On the Joint Distribution Functions of Order Statistics with Reference to Step-up Multiple Test Procedures;;;;93-19;1993
1442554;Peter Gritzmann|Victor Klee;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI96-25;2011-12-29;;;;;;informal publication;;;;;Computational Convexity;;;;96-25;1996
1442555;Anna Slobodová|Christian Stangier|Christoph Meinel|Gianpiero Cabodi|Harald Sack|Stefano Quer;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI98-22;2011-12-29;;;;;;informal publication;;;;;Binary Decision Diagrams and the Multiple Variable Order Problem;;;;98-22;1998
1442556;Andreas Neumann;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI97-05;2011-12-29;;;;;;informal publication;;;;;Unambiguity of SMGL Content Models - Pushdown Automata Revisited;;;;97-05;1997
1442557;H. Class|R. Helmig|Subhendu Bikash Hazra|Volker Schulz;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI02-13;2011-12-29;;;;;;informal publication;;;;;Forward and Inverse Problems in Modeling of Multiphase Flow and Transport Through Heterogeneos Porous Media;;;;02-13;2002
1442558;Peter Dierolf;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI92-02;2011-12-29;;;;;;informal publication;;;;;The Structure Theorem for Linear Transfer Systems;;;;92-02;1992
1442559;Artur Czumaj|Krzysztof Lorys|Miroslaw Kutylowski|Przemyslawa Kanarek;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI96-26;2011-12-29;;;;;;informal publication;;;;;Fast Generation of Random Permutations via Networks Simulation;;;;96-26;1996
1442560;Christoph Meinel|Jordan Gergov;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI92-07;2011-12-29;;;;;;informal publication;;;;;Analysis and Manipulation of Boolean Functions in Terms of Decision Graphs;;;;92-07;1992
1442561;Klaus Jansen;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI92-12;2011-12-29;;;;;;informal publication;;;;;On the Complexity of One Branching Graphs;;;;92-12;1992
1442562;Jens Hofmann;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI97-22;2011-12-29;;;;;;informal publication;;;;;The BMAP/G/1 Queue with Level Dependent Arrivals and its Stationary Distribution;;;;97-22;1997
1442563;Christoph Meinel|Feng Cheng 0002|Paul Ferring;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI03-05;2011-12-29;;;;;;informal publication;;;;;Lock-Keeper Technology - A New Network Security Solution;;;;03-05;2003
1442564;Christoph Meinel|Elena Dubrova|Harald Sack;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI99-27;2011-12-29;;;;;;informal publication;;;;;Mod-p Decision Diagrams: A Data Structure for Multiple-Valued Functions.;;;;99-27;1999
1442565;Alexander Kaplan|Rainer Tichatschke;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI99-14;2011-12-29;;;;;;informal publication;;;;;Auxiliary Problem Principle and Proximal Point Methods;;;http://www.mathematik.uni-trier.de/preprints/About/FoMaInf_1999_14.html;99-14;1999
1442566;Peter Gritzmann|Victor Klee;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI97-02;2011-12-29;;;;;;informal publication;;;;;Separation by Hyperplanes in Finite-Dimensional Vector Spaces Over Archimedean Ordered Fields;;;;97-02;1997
1442567;Manfred Laumen;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI96-15;2011-12-29;;;;;;informal publication;;;;;Newton's Method for a Class of Optimal Shape Design Problems;;;;96-15;1996
1442568;Dieter Baum;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI01-03;2011-12-29;;;;;;informal publication;;;;;Customer Motion in Queueing Models: The Use of Tangent Vector Fields;;;;01-03;2001
1442569;Christoph Meinel;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI92-05;2011-12-29;;;;;;informal publication;;;;;A Note on Möbius Functions and the Communication Complexity of the Graph-Accessability-Problem;;;;92-05;1992
1442570;Lothar Breuer;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI01-14;2011-12-29;;;;;;informal publication;;;;;An EM Algorithm for Batch Markovian Arrival Processes and its Comparison to a Simpler Estimation Procedure;;;;01-14;2001
1442571;Nguyen V. Thoai;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI94-09;2011-12-29;;;;;;informal publication;;;;;Global Optimization Techniques for Solving the General Quadratic Integer Programming Problem;;;;94-09;1994
1442572;Peter Gritzmann|Victor Klee;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI93-14;2011-12-29;;;;;;informal publication;;;;;External Tangents and Closedness of Cone + Subspace;;;;93-14;1993
1442573;Friedemann Leibfritz;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI99-02;2011-12-29;;;;;;informal publication;;;2|infinity;;A LMI-Based Algorithm for Designing Suboptimal Static H;;;;99-02;1999
